Date,Open,High,Low,Close
2014-11-25,2531.998047,2568.381104,2527.076904,2567.596924
2014-11-26,2572.648926,2605.070068,2570.404053,2604.886963
2014-11-27,2615.366943,2631.398926,2599.10791,2630.045898
2014-11-28,2629.625977,2683.179932,2622.061035,2682.918945
2014-12-01,2691.725098,2720.74292,2668.841064,2680.73999
2014-12-02,2667.820068,2777.37207,2665.686035,2763.316895
2014-12-03,2768.677979,2824.178955,2733.86792,2779.736084
2014-12-04,2783.468994,2900.508057,2772.431885,2900.362061
2014-12-05,2926.572998,2978.029053,2813.052002,2938.781006
2014-12-08,2907.814941,3041.656982,2879.846924,3021.523926
2014-12-09,2992.48999,3091.323975,2834.592041,2859.918945
2014-12-10,2855.939941,2946.707031,2807.677979,2940.876953
2014-12-11,2912.345947,2965.675049,2892.611084,2925.74292
2014-12-12,2929.360107,2962.51001,2914.956055,2938.173096
2014-12-15,2921.446045,2960.227051,2890.904053,2953.420898
2014-12-16,2953.811035,3021.896973,2943.912109,3021.518066
2014-12-17,3031.951904,3076.599121,2993.333008,3061.02002
2014-12-18,3062.801025,3089.791016,3030.319092,3057.520996
2014-12-19,3053.074951,3117.5271,3018.420898,3108.595947
2014-12-22,3129.26709,3189.866943,3090.509033,3127.445068
2014-12-23,3085.080078,3136.837891,3025.666992,3032.612061
2014-12-24,3039.206055,3050.50708,2934.910889,2972.531982
2014-12-25,3072.540039,3072.540039,3072.540039,3072.540039
2014-12-26,3078.004883,3164.155029,3064.176025,3157.603027
2014-12-29,3212.559082,3223.860107,3126.944092,3168.016113
2014-12-30,3160.801025,3190.299072,3130.353027,3165.814941
2014-12-31,3172.596924,3239.356934,3157.259033,3234.677002
2015-01-05,3258.626953,3369.281006,3253.883057,3350.519043
2015-01-06,3330.799072,3394.224121,3303.184082,3351.446045
2015-01-07,3326.648926,3374.895996,3312.210938,3373.954102
2015-01-08,3371.957031,3381.565918,3285.094971,3293.456055
2015-01-09,3276.965088,3404.833984,3267.509033,3285.412109
2015-01-12,3258.212891,3275.185059,3191.582031,3229.315918
2015-01-13,3223.541992,3259.385986,3214.412109,3235.301025
2015-01-14,3242.336914,3268.48291,3193.978027,3222.437012
2015-01-15,3224.070068,3337.083984,3207.544922,3336.455078
2015-01-16,3343.603027,3400.318115,3340.48999,3376.495117
